#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
263,2023/05/10,794,-0.74,800,789,796,"32,368","25,621,656.80"
264,2023/05/09,799.9,0.48,810,795,810,"18,957","15,138,744.20"
265,2023/05/08,796.1,-0.25,813,796,813,"12,843","10,239,848.30"
266,2023/05/07,798.1,-0.36,808,798.1,799.1,"10,939","8,783,540.00"
267,2023/05/04,801,0.12,809,796,809,"18,637","14,887,444.80"
268,2023/05/03,800,-0.36,813.8,798.1,800.1,"16,762","13,410,546.90"
269,2023/05/02,802.9,0.11,805,798.1,802,"28,548","22,846,174.70"
270,2023/04/30,802,-0.5,813,802,809,"22,126","17,813,777.30"
271,2023/04/27,806,-0.62,814,805,814,"6,808","5,497,544.30"
272,2023/04/26,811,-0.37,820,807,807,"8,183","6,659,163.50"
273,2023/04/25,814,0.52,814.9,808,808,"5,849","4,746,047.60"
274,2023/04/24,809.8,0.35,812,803,803,"5,625","4,538,127.40"
275,2023/04/23,807,-0.37,810,800.1,800.1,"10,386","8,377,571.10"
276,2023/04/20,810,-0.86,830,810,830,"6,527","5,306,680.00"
277,2023/04/19,817,0,825,813,825,"2,362","1,932,855.80"
278,2023/04/18,817,0.37,824,798,798,"11,557","9,416,324.40"
279,2023/04/17,814,-0.61,828,806,806,"7,349","5,993,891.20"
280,2023/04/16,819,0.12,829,805,805,"15,348","12,524,502.70"
281,2023/04/13,818,-1.21,838,815,830,"10,302","8,484,934.10"
282,2023/04/12,828,2.86,828,808,820,"12,123","9,931,466.20"
283,2023/04/11,805,1,810,794,810,"14,347","11,462,993.90"
284,2023/04/10,797,-0.36,805,795.3,800,"9,668","7,724,638.60"
285,2023/04/09,799.9,-0.94,809,797.2,804,"12,745","10,227,866.50"
286,2023/04/06,807.5,-0.25,819.5,807.1,815,"7,334","5,948,515.50"
287,2023/04/05,809.5,0.43,815,791,806,"8,026","6,471,709.50"
288,2023/04/04,806,-0.25,812,803,808,"9,180","7,405,042.80"
289,2023/04/03,808,-0.49,822,806,806,"11,957","9,659,131.90"
290,2023/04/02,812,-0.25,828,806,814,"14,656","11,897,990.60"
291,2023/03/30,814,-0.25,826,810,826,"14,105","11,508,542.20"
292,2023/03/29,816,0.37,820,811,815,"8,185","6,669,956.60"
293,2023/03/28,813,-0.14,830.3,810,830.3,"23,201","18,955,840.00"
294,2023/03/27,814.1,0.26,819.8,795.8,795.8,"16,743","13,574,248.30"
295,2023/03/26,812,0.12,824,807.7,811,"13,639","11,056,101.20"
296,2023/03/23,811,-1.04,819.9,810,815,"10,763","8,758,774.00"
297,2023/03/22,819.5,-0.3,833.9,813.4,830,"11,790","9,697,738.00"
298,2023/03/20,822,0.61,828.9,818,828.9,"5,523","4,534,832.90"
299,2023/03/19,817,0.15,826,814,816,"8,415","6,891,176.30"
300,2023/03/16,815.8,0.1,819,812.2,818,"8,860","7,223,123.90"
