#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
149,2024/09/18,942.00,-0.52,955.00,939.00,950.00,"34,601","32,677,318.50"
150,2024/09/16,946.90,-2.08,980.00,941.00,980.00,"38,521","36,656,246.20"
151,2024/09/15,967.00,-1.83,995.00,966.40,986.00,"52,289","51,201,716.80"
152,2024/09/12,985.00,2.07,987.00,960.10,984.30,"27,804","27,129,890.50"
153,2024/09/11,965.00,-1.03,992.00,963.00,975.10,"32,622","31,758,932.60"
154,2024/09/10,975.00,0.83,999.60,968.30,980.00,"59,563","58,265,989.20"
155,2024/09/09,967.00,-1.43,999.00,967.00,999.00,"66,958","65,277,825.80"
156,2024/09/08,981.00,-1.41,"1,002.00",980.00,"1,001.00","33,481","33,148,735.40"
157,2024/09/05,995.00,0.6,"1,003.00",976.00,985.00,"90,926","89,855,925.30"
158,2024/09/04,989.10,-3.97,"1,050.00",988.00,"1,050.00","65,524","65,881,320.80"
159,2024/09/03,"1,030.00",0.1,"1,044.00","1,018.00","1,044.00","92,379","95,084,343.40"
160,2024/09/02,"1,029.00",4.57,"1,045.00",976.00,984.00,"95,891","96,862,131.00"
161,2024/09/01,984.00,-0.82,"1,005.00",978.00,993.00,"96,456","95,340,846.30"
162,2024/08/29,992.10,-1.09,"1,015.00",988.20,"1,015.00","68,842","68,650,558.90"
163,2024/08/28,"1,003.00",0.2,"1,039.90",995.00,"1,015.00","83,564","84,296,893.50"
164,2024/08/27,"1,001.00",-3.66,"1,059.70","1,000.00","1,059.70","130,523","132,458,395.00"
165,2024/08/25,"1,039.00",-2.72,"1,075.00","1,038.10","1,071.00","92,180","96,936,176.90"
166,2024/08/22,"1,068.00",0.38,"1,082.50","1,060.10","1,065.00","94,440","101,300,330.80"
167,2024/08/21,"1,064.00",-1.48,"1,096.00","1,060.00","1,080.00","106,534","113,782,722.70"
168,2024/08/18,"1,080.00",-3.04,"1,124.00","1,074.00","1,120.00","222,154","242,678,057.00"
169,2024/08/15,"1,113.90",-0.99,"1,125.00","1,104.90","1,125.00","220,875","245,854,034.40"
170,2024/08/14,"1,125.00",0,"1,214.00","1,117.00","1,145.00","120,217","136,105,015.80"
171,2024/08/13,"1,125.00",0.27,"1,146.00","1,116.10","1,135.00","115,805","131,010,016.30"
172,2024/08/12,"1,122.00",-0.18,"1,150.00","1,099.00","1,146.40","139,467","156,673,384.10"
